proverb	topic
Человек гадает, а бог совершает.	Бог — Вера
На человеческую глупость есть божья премудрость.	Бог — Вера
Ты к худшему, а бог к лучшему.	Бог — Вера
Один воин тысячи водит, а бог и тысячи и воина водит.	Бог — Вера
Человек (или: Кто) с лихостию, а бог с милостию.	Бог — Вера
Мы с печалью, а бог с милостью.	Бог — Вера
Он его бранит, а бог его хранит.	Бог — Вера
Бог не мужик (т. е. не обидит): бабу отымет, а девку даст (о  вдовце).	Бог — Вера
Мужик на мужика осил надевает, а бог свое содевает.	Бог — Вера
Бог за худое плательщик.	Бог — Вера
Страшен сон, да милостив бог.	Бог — Вера
Без бога и червяк сгложет.	Бог — Вера
Постыжет бог суды человеческие (св. Дмитрий Ростовский).	Бог — Вера
Бог не захочет, и пузырь не вскочит.	Бог — Вера
Кабы бог послушал худого пастуха, так бы весь скот выдох (по  частой брани его: чтоб ты издохла!).	Бог — Вера
Кому на поле божья помощь. Кому на бою божья милость  (старин., от судебных поединков).	Бог — Вера
Бог не даст (или: не выдаст), свинья не съест.	Бог — Вера
Бог попущает, и свинья гуся съедает.	Бог — Вера
Жив бог — жива душа моя.	Бог — Вера
Бог не Макешь (или: Мокошь, языческое божество), чем-нибудь  да потешит.	Бог — Вера
Бог кормилец, не как мужик возгривец.	Бог — Вера
Коли богу угодно. Коли бог велит. Как богу угодно. Богу  соизволящу, попускающу. Как бог попустит.	Бог — Вера
Умная голова, разбирай божьи дела!	Бог — Вера
Бог — старый чудотворец.	Бог — Вера
Все от бога. Всяческая от творца.	Бог — Вера
У бога-света с начала света все доспето.	Бог — Вера
Божеское не от человека, а человек от бога.	Бог — Вера
Божьей воли не переможешь (или: не переволишь).	Бог — Вера
Выше божьей воли не будешь (не станешь).	Бог — Вера
С богом не поспоришь. С богом не спороваться.	Бог — Вера
Не по нашему хотенью, а по божью изволенью.	Бог — Вера
Не нашим умом, а божьим судом.	Бог — Вера
Господь богатит и высит, убожит и смиряет.	Бог — Вера
Божье тепло, божье и холодно.	Бог — Вера
Бог вымочит, бог и высушит.	Бог — Вера
Который бог вымочит, тот и высушит.	Бог — Вера
Бог отымет, бог и подаст. Бог дал, бог и взял.	Бог — Вера
Все мы под богом ходим.	Бог — Вера
Власть господня. Воля божья. Святая воля его.	Бог — Вера
Под богом ходишь, и власть его (или: божья и власть).	Бог — Вера
Под богом ходишь — божью волю носишь.	Бог — Вера
На волю божью просьбы не подашь.	Бог — Вера
Чего бог не даст, того никто не возьмет.	Бог — Вера
Что богу угодно, то и пригодно.	Бог — Вера
Бог по силе крест налагает.	Бог — Вера
Бог лучше знает, что дать, чего не дать.	Бог — Вера
Бог не даст — нигде не возьмешь.	Бог — Вера
Господня воля — наша доля.	Бог — Вера
Суди, господи, волю свою!	Бог — Вера
В делах человеческих сам бог послух (свидетель).	Бог — Вера
Бог видит, кто кого обидит (или: кто кого любит).	Бог — Вера
Бог видит, кто куда (или: что куда) идет.	Бог — Вера
Бог не гуляет, а добро перемеряет (говорится при перемене  счастья).	Бог — Вера
Не скор бог, да меток.	Бог — Вера
Бог долго ждет, да больно бьет.	Бог — Вера
Бог и слышит, да не скоро скажет.	Бог — Вера
Бог видит, да нам не сказывает.	Бог — Вера
От людей утаишь, а от бога не утаишь.	Бог — Вера
Перед попом утаишь, а перед богом не утаишь.	Бог — Вера
Бога не обманешь, хоть и пораньше нашего встанешь.	Бог — Вера
Сколько ни мудри, а воли божьей не перемудришь (ответ  крестьян на нововведения).	Бог — Вера
Ни он (бог) тебя, ни ты его не обманешь.	Бог — Вера
Ни хитру, ни горазду, ни убогу, ни богату суда божьего не  миновать.	Бог — Вера
Что народ увидит, то и бог услышит.	Бог — Вера
Бог виноватого найдет.	Бог — Вера
Бог всякую неправду сыщет.	Бог — Вера
Бог не Никитка, повыломает лытки (т. е. накажет).	Бог — Вера
Бог накажет, никто не укажет.	Бог — Вера
Стреляй в куст, бог (или: пуля) виноватого сыщет.	Бог — Вера
Бог не свой брат, не увернешься.	Бог — Вера
От бога не уйдешь. От божьей власти (или: кары) не уйдешь.	Бог — Вера
Суда божьего околицей не объедешь.	Бог — Вера
Его сам бог пометил (или: запятнал, покарал).	Бог — Вера
Кого бог любит, того и наказует.	Бог — Вера
Наказуя, наказа мя господь, но смерти не предаде.	Бог — Вера
Кто богу угоден, тот и людям приятен (или: пригоден).	Бог — Вера
Живем, поколе господь грехам нашим терпит.	Бог — Вера
На этом свете помучимся, на том порадуемся.	Бог — Вера
Начало премудрости — страх господень.	Бог — Вера
Бога ты не боишься! Бога бойся!	Бог — Вера
Бог суди твои костыли (т. е. лукавство).	Бог — Вера
Бог тебя суди! Бог тебе судья! Бог его накажи!	Бог — Вера
С богом (т. е. иди, начинай и пр.).	Бог — Вера
Бог с тобою (т. е. прощаю, благословляю; или: отойди,  отвяжись; или: опомнись, образумься).	Бог — Вера
Перед богом все равны. Перед богом все холопы. Все мы рабы  божьи.	Бог — Вера
У бога и живых царей много.	Бог — Вера
Не бойся никого, кроме (или: только) бога одного.	Бог — Вера
У бога выслужишь, у людей никогда (о неблагодарности).	Бог — Вера
Коли не людям в честь, ин (или: так) богу в славу.	Бог — Вера
На весь мир и сам бог не угодит.	Бог — Вера
Молись, а злых дел берегись!	Бог — Вера
На бога надейся, а сам не плошай!	Бог — Вера
Богу молись, а в делах не плошись!	Бог — Вера
Богу молись, а добра-ума держись!	Бог — Вера
Богу молись, а к берегу гребись!	Бог — Вера
Бог богом, а люди людьми.	Бог — Вера
Плачься богу, а слезы — вода.	Бог — Вера
Царь далеко, а бог высоко. До царя далеко, до бога высоко  (по разным произношениям: высоко, далеко; по-владимирски: высоко, далеко).	Бог — Вера
Кто добро творит, тому бог отплатит.	Бог — Вера
За добро бог плательщик.	Бог — Вера
Кто добро творит, того бог благословит.	Бог — Вера
В небо приходящим отказу не бывает.	Бог — Вера
У бога для праведных места много.	Бог — Вера
За (На) кого бог, за (на) того и добрые люди.	Бог — Вера
Удаляющиеся от бога погибают.	Бог — Вера
И рано встал, да бог не пристал (о неудаче).	Бог — Вера
Коли господь не сохранит града, то всуе стража и ограда.	Бог — Вера
Не сохранит господь града, не сохранит ни стража, ни ограда.	Бог — Вера
Коли господь не построит дома, и человек не построит.	Бог — Вера
Без бога ни до порога.	Бог — Вера
С бога начинай и господом кончай!	Бог — Вера
Утром бог и вечером бог, а в полдень да в полночь никто же,  кроме его.	Бог — Вера
Благослови, господи, достояние твое!	Бог — Вера
Всякое житейское отложим попечение!	Бог — Вера
Богу молиться — вперед пригодится.	Бог — Вера
Молитва — полпути к богу (или: ко спасению).	Бог — Вера
Молись иконе да будь в покое!	Бог — Вера
Проси Николу, а он спасу скажет.	Бог — Вера
Сей, рассевай, да на небо взирай!	Бог — Вера
Кто перекрестясь работает, тому божья помощь.	Бог — Вера
Кто не окстясь за стол садится, с тем ест и пьет диавол.	Бог — Вера
Перейти крест — грех на душу (т. е. пройти впереди  молящегося).	Бог — Вера
Кто без крестов (т. е. без тельного креста), тот не Христов.	Бог — Вера
Без креста и молитвы не будут ловитвы.	Бог — Вера
За ладью хватайся (на промыслах), богу конайся (кучься).	Бог — Вера
С молитвой в устах, с работой в руках.	Бог — Вера
Не торопись, сперва богу помолись!	Бог — Вера
К вечерне в колокол — всю работу об угол.	Бог — Вера
Первый звон — чертям разгон; другой звон — перекстись;  третий звон — облокись (оденься, иди в церковь).	Бог — Вера
Первый звон — пропадай мой сон; другой звон — земной поклон;  третий звон — из дому вон!	Бог — Вера
Не слушай, где куры кудахчут, а слушай, где богу молятся!	Бог — Вера
Благословясь, не грех (т. е. дело, на которое могу посягнуть  с молитвою, не грешное).	Бог — Вера
Что бы ни пришло, все молись!	Бог — Вера
Одно трости: господи, прости!	Бог — Вера
Одно знай: господи, помилуй и отыми и подай!	Бог — Вера
Дело не спорится — углам помолиться.	Бог — Вера
Лихо думаешь — богу не молись.	Бог — Вера
Не для бога молитва, а для убожества.	Бог — Вера
Богу хвала, а вам (а добрым людям) честь и слава.	Бог — Вера
Свет в храмине от свечи, а в душе от молитвы.	Бог — Вера
С верой нигде не пропадешь.	Бог — Вера
Без веры живут на этом свете, а на том не проживешь.	Бог — Вера
Пораньше просыпайся, да за бога хватайся!	Бог — Вера
Спаси, господи, люди твоя (и благослови достояние твое).	Бог — Вера
Хлеб-соль величай (т. е. молись после еды).	Бог — Вера
Славите бога, так слава и вам!	Бог — Вера
Не скажешь аминь, так и выпить не дадим.	Бог — Вера
Божье забудешь, и своего не получишь.	Бог — Вера
На божье посягать — свое потерять.	Бог — Вера
Напади бог, нападут и добрые люди.	Бог — Вера
«Господи, помилуй!» — не грех говорить и не тяжело носить.	Бог — Вера
«Господи, помилуй!» — не тяжело говорить и легко носить.	Бог — Вера
Наше дело: «Помилуй, бог!», а живет и: «Закрой, Христос!»	Бог — Вера
Буди имя господне благословенно отныне и до века!	Бог — Вера
Шаркни, господи, по душе, по телу, по жене, по детям, по  моему здоровью (говорится при отдержке завесы царских дверей).	Бог — Вера
Не стоит город без святого, селение без праведника.	Бог — Вера
Молитва места не ищет.	Бог — Вера
Коротка молитва «Отче наш», да спасает.	Бог — Вера
Аминь человека спасает.	Бог — Вера
Аминем беса не отшибешь (или: беса не отбудешь).	Бог — Вера
Прости, господи, прегрешения мои!	Бог — Вера
С нами крестная сила! С нами бог и все святые его.	Бог — Вера
Наше место свято!	Бог — Вера
Дома спасайся, а в церковь ходи!	Бог — Вера
Кто попу не сын, тот не законный сын.	Бог — Вера
Велики труды его к богу (т. е. богомол, великопостник).	Бог — Вера
Испостился, измолился в нитку.	Бог — Вера
Не хлебом живы, молитвою.	Бог — Вера
Церковное стяжанье — божье.	Бог — Вера
Церковное достояние — убогих богатство. Крестовая церковь и  кресты правит (см. «Новая скрижаль»).	Бог — Вера
Первую мерлушку попу на опушку!	Бог — Вера
Не отсыпав попу новины, хлеба не продавай!	Бог — Вера
Монастырь докуку любит (т. е. просьбы и приношения).	Бог — Вера
Келья — гроб, и дверью — хлоп!	Бог — Вера
Иконы не купят, а меняют (вместо; не покупают).	Бог — Вера
Образа да ножи не дарят, а меняют.	Бог — Вера
Кто понедельничает, возрадуется заступничеству архангела  Михаила.	Бог — Вера
Скоромничают бары да собаки.	Бог — Вера
Великий пост всем прижмет хвост.	Бог — Вера
Одно спасенье — пост да молитва.	Бог — Вера
Середа да пятница хозяину в доме не указчица.	Бог — Вера
Бог даст совет, так и в пост мясоед.	Бог — Вера
Постись духом, а не брюхом!	Бог — Вера
Послушание паче поста и молитвы.	Бог — Вера
Не сквернит в уста, а сквернит из уст.	Бог — Вера
Не встанет свеча перед богом, а встанет душа.	Бог — Вера
Богу молиться — не вовсе разориться (т. е. надо заняться и  мирским).	Бог — Вера
Повадишься к вечерне — не хуже харчевни: ныне свеча — ан  шуба с плеча (укор скупых мужей женам).	Бог — Вера
Не нужны нам праведники, нужны угодники (т. е. нам  угождающие).	Бог — Вера
Пению время, а молитве час.	Бог — Вера
Грех в мех, а сам вверх (или: наверх).	Бог — Вера
Грех под лавку, а сам на лавку.	Бог — Вера
Хлеб ест, а креститься не умеет.	Бог — Вера
Много кающих(ся), да мало воротящих(ся).	Бог — Вера
Поено да кормлено, а дома не помолено.	Бог — Вера
Поп сидя обедню служит, а приход (а миряне) лежа богу  молятся.	Бог — Вера
Одному мигнул, другому кивнул, а третий и сам догадается (о  нерадивой молитве).	Бог — Вера
Знают и чудотворцы, что мы не богомольцы.	Бог — Вера
Научились шить долгие хвосты — позабыли великие посты.	Бог — Вера
На дудку есть, а на свечку нет (т. е. денег).	Бог — Вера
На балалайку станет, и на кабак станет, а на свечку не  станет.	Бог — Вера
В тревогу — и мы к богу, а по тревоге — забыли о боге.	Бог — Вера
Хоть церковь и близко, да ходить склизко; а кабак  далеконько, да хожу потихоньку.	Бог — Вера
Пойдем в церковь! — Грязно. — Ну так в шинок! — Разве уж под  тыном пройти?	Бог — Вера
Попы за книжки, а миряне за пышки.	Бог — Вера
Поп в колокол, а мы за ковш.	Бог — Вера
Богу-то с перст, а черту-то с пест (о свече).	Бог — Вера
Одни колокола поют (т. е. не служат).	Бог — Вера
Кушанье познается по вкусу, а святость по искусу.	Бог — Вера
Окрест боящихся бога ангел господень ополчается.	Бог — Вера
Лучше брани: Никола с нами.	Бог — Вера
На поле Никола общий бог.	Бог — Вера
Бог не убог, а Никола милостив.	Бог — Вера
Нет за нас поборника супротив Николы.	Бог — Вера
Никола на море спасает, Никола мужику воз подымает.	Бог — Вера
Что хромо, что слепо, то Козьме и Демьяну (о дворовой  птице).	Бог — Вера
Матушка Похвала, узнала ль ты меня? — Я из Жидова Катерина,  живу в Твердове у Кирилла (т. е. девка выдана замуж из Жидова в Твердово и,  пришед на родину, молится знакомой иконе).	Бог — Вера
Батюшка Предтеча, я из Субботников, Павлова сноха, Иванова  жена, помилуй ты меня!	Бог — Вера
Спаси и помилуй ты менчя, мать пресвятая богородица; а живу  я в крайней избе на селе (или: и крайнюю избу на селе).	Бог — Вера
Его ангел хранитель спас (или: уберег).	Вера — Грех
Святой воздух, помоги нам (Касп. море).	Вера — Грех
Вера спасает.	Вера — Грех
Вера животворит.	Вера — Грех
Вера и гору с места сдвинет.	Вера — Грех
Один бог безгрешен. Един бог без греха.	Вера — Грех
Нет такого человека, чтоб век без греха прожил.	Вера — Грех
Люди темные: не знаем, в чем грех, в чем спасенье.	Вера — Грех
Без веры господь не избавит, без правды господь не исправит.	Вера — Грех
Кто молится: «Помилуй, господи, мя безгрешного!» — будет в  аду.	Вера — Грех
Без денег в церковь ходить грех.	Вера — Грех
Вместо сорокоуста можно раздать нищим сорок яиц.	Вера — Грех
Согрешили попы за наши грехи (т. е. по нашим грехам и они  грешат).	Вера — Грех
Всякая неправда грех.	Вера — Грех
Грехи тяжки. Тяжело грехи носить.	Вера — Грех
Избави нас, бог, от шуего стоянья, сподоби десного  пребыванья!	Вера — Грех
Что грешно, то и смешно (или: потешно).	Вера — Грех
Грешному путь вначале широк, да после крут (или: тесен).	Вера — Грех
Беден бес, что у него бога нет.	Вера — Грех
Грехи любезны доводят до бездны.	Вера — Грех
Грех сладок, человек падок. Грех сладко, человеку падко.	Вера — Грех
Вражье-то лепко (из лепо и липко), а божье-то крепко.	Вера — Грех
Грех грехом, а вина виной.	Вера — Грех
Снес грех, да ссадно (или: надсадно).	Вера — Грех
Ай, ай — заключен рай!	Вера — Грех
Ароматы (или: Фимиамы) от мук не избавят.	Вера — Грех
Что запасешь, то и с собой понесешь (т. е. на тот свет).	Вера — Грех
Час от часу к смерти ближе, а от спасенья дальше.	Вера — Грех
Быть тебе в раю, где горшки обжигают.	Вера — Грех
Глас божий вызвонит из ада душу грешника (о вкладе на  колокол за упокой самоубийцы).	Вера — Грех
Да воскреснет бог и расточатся враги его!	Вера — Грех
Бог любит праведника, а черт ябедника.	Клевета — Напраслина
Богово дорого, бесово дешево.	Клевета — Напраслина
От бога отказаться — к сатане пристать.	Клевета — Напраслина
Бога зови, а черта не гневи! Богу угождай, а черту не  перечь!	Клевета — Напраслина
Богу свечу, а черту кочергу (или: ожиг, огарыш).	Клевета — Напраслина
Бога не гневи, а черта не смеши!	Клевета — Напраслина
Богат бог милостию, а скуден, да бес.	Клевета — Напраслина
Скуден, да нужен (человек), а беден бес.	Клевета — Напраслина
Ангел помогает, а бес подстрекает.	Клевета — Напраслина
Бог дает путь, а дьявол крюк. Бог путь, а черт крюк.	Клевета — Напраслина
Сатана и святых искушает.	Клевета — Напраслина
Поп свое, а черт свое.	Клевета — Напраслина
Поп с кадилом, а черт с рогатиной.	Клевета — Напраслина
Я за порог (или: за пирог), а черт поперек.	Клевета — Напраслина
Господь умудряет слепца, а дьявол искушает чернеца.	Клевета — Напраслина
Хвалится черт всем светом овладеть, а бог ему не дал воли и  над свиньей.	Клевета — Напраслина
Радостен бес, что отпущен инок в лес.	Клевета — Напраслина
Силен бес и горами качает.	Клевета — Напраслина
Бес качает горами, не только нами.	Клевета — Напраслина
Силен бес и горами качает, а людьми, что вениками, трясет.	Клевета — Напраслина
Бес не пьет и не ест, а пакости деет.	Клевета — Напраслина
Никто беса не видит, а всяк его ругает.	Клевета — Напраслина
Диавол осьмую тысячу живет.	Клевета — Напраслина
Не зарудился черт (т. е. не загорел), а таков уродился.	Клевета — Напраслина
Где черт не был, а на устье реки поспел (поверье).	Клевета — Напраслина
Заступи черту дверь, а он в окно.	Клевета — Напраслина
Одолели черти святое место.	Клевета — Напраслина
Послушай-ка, народ, это черт-эт орет!	Клевета — Напраслина
Мужик лишь пиво заварил, уж черт с ведром.	Клевета — Напраслина
Бог дал, а с чертом потягаемся.	Клевета — Напраслина
Не поддавайся черту, так ему и власти нет над тобой!	Клевета — Напраслина
Черт бессилен, да батрак его силен (т. е. человек).	Клевета — Напраслина
У черта на кулижках (или: на куличках) (от кулига, чищоба).	Клевета — Напраслина
Кой черт его угораздил? Черт его дернул (или: попутал).	Клевета — Напраслина
На черта? Черт ли в нем? На кой черт?	Клевета — Напраслина
Ему и черт не брат (т. е. он зазнается).	Клевета — Напраслина
А черт его знает! Убирайся к черту! Черт его побери! Черта с  два! и пр.	Клевета — Напраслина
По старине ходит. Жить по старой вере (раск.).	Изуверство — Раскол
Веруем в веру, юже предаша нам отцы наши (раск.).	Изуверство — Раскол
Как родители жили, так и нас благословили (раск.).	Изуверство — Раскол
Не та вера правее, которая мучит, а та, которую мучат  (раск.).	Изуверство — Раскол
Есть ли кому аминь отдать (т. е. дома ль хозяин)? (раск.)	Изуверство — Раскол
Прости Христа ради и благослови (привет келейницам).	Изуверство — Раскол
Чтоб быть богатым, надо не доплачивать по ряду хоть копейку  (раск.).	Изуверство — Раскол
Почитать землю за круг или шар — грешно; так думали фарисеи  (раск.).	Изуверство — Раскол
Кто постится на первый день пасхи, может не поститься весь  великий пост (раск.).	Изуверство — Раскол
Умереть на печи — все равно, что с перепою (раск.).	Изуверство — Раскол
Грешно дать умереть младенцу в люльке: все одно, что на  виселице.	Изуверство — Раскол
Стоя на молитве, ног не расставлять: бес проскочит (раск.).	Изуверство — Раскол
Покойника должно класть ногами к иконам (раск.).	Изуверство — Раскол
В валенках молиться грешно (раск.).	Изуверство — Раскол
Во время стоянься (т. е. молитвы) пояс спускать ниже пупа  (раск.).	Изуверство — Раскол
У нас свой бог, у никониян свой (или: иной).	Изуверство — Раскол
Как положат на Рогоже (Рогожское кладбище в Москве), так  быть в Городце (Нижегородской губернии); а как на Городце, так и на всем  крещеном миру (раск.).	Изуверство — Раскол
Иуда брал соль щепотью; поэтому щепотью креститься грех.	Изуверство — Раскол
Креститься поперек пояса грешно (т. е. ниже, через пояс)  (раск.).	Изуверство — Раскол
Яко же благословляется, тако и крестится (раск.).	Изуверство — Раскол
Церковь не в бревнах, а в ребрах (духоборцы).	Изуверство — Раскол
Кто бога боится, тот в церковь не ходит (раск.).	Изуверство — Раскол
Поклоняйся Христу не мазаному, не писаному, а Христу  животворному (духоборцы).	Изуверство — Раскол
Не согрешив, не умолишь. Не согреша, не помолишься (раск.).	Изуверство — Раскол
Не греша, не спокаешься; не спокаявшись, не помолишься; не  молясь, не спасешься (раск.).	Изуверство — Раскол
Большой грех прощается скорее малого, потому что человек  покается (раск.).	Изуверство — Раскол
Без борцы нет венца (духоборцы).	Изуверство — Раскол
Женатые грешат, да не каятся; а мы грешим, да каемся  (раск.).	Изуверство — Раскол
Девице позволено согрешать, иначе ей бы не в чем было  каяться (раск.).	Изуверство — Раскол
Родившая девка должна покрывать голову — покрыть грех  (раск.).	Изуверство — Раскол
Лучше семерых родить, чем замуж ходить (феодосеевщина).	Изуверство — Раскол
Для явности. Ради страха иудейского (т. е. для вида)  (раск.).	Изуверство — Раскол
Образ божий в бороде, а подобие в усах (раск.).	Изуверство — Раскол
Без бороды и в рай не пустят (раск.).	Изуверство — Раскол
Брить бороду — портить образ Христов (раск.).	Изуверство — Раскол
Режь наши головы, не тронь наши бороды (раск.).	Изуверство — Раскол
Песни и пляска от сатаны (раск.).	Изуверство — Раскол
Чай проклят на трех соборах, а кофе на семи (раск.).	Изуверство — Раскол
Чай, кофе, картофель, табак прокляты на семи вселенских  соборах (раск.).	Изуверство — Раскол
Пагуба душевная и телесная: чай, кофе, табак (раск.).	Изуверство — Раскол
Картошка проклята, чай двою проклят, табак да кофе трою.	Изуверство — Раскол
Разводить и продавать картофель можно, но есть грешно (раск.).	Изуверство — Раскол
Не сытно проклятое былие, еже по-еллински обилие (т. е.  картофель) (раск.).	Изуверство — Раскол
Кто кофе пьет, того бог (или: гром) убьет (раск.).	Изуверство — Раскол
Кто пьет чай, тот спасения не чай (раск.).	Изуверство — Раскол
Кто пьет чай, отчаявается от бога; кто пьет кофе — налагает  ков на Христа (раск.).	Изуверство — Раскол
Китайская стрела в Россию вошла, в христианские сердца —  сгубила всех до конца (раск.).	Изуверство — Раскол
Корень горести высь прозябает (табак) (раск.).	Изуверство — Раскол
Кто табак пьет (т. е. нюхает) да курит — святого духа из  себя турит (раск.).	Изуверство — Раскол
Кто нюхает табаки, тот брат собаке (раск.).	Изуверство — Раскол
Кто нюхает (или: курит) табак, тот хуже собак (раск.).	Изуверство — Раскол
Дар божий грех колоть (об употреблении вилок) (раск.).	Изуверство — Раскол
Сколько яств, столько и ножей (некоторые раскольнические  толки).	Изуверство — Раскол
Прививная оспа — антиева печать (раск.).	Изуверство — Раскол
На том свете каждая щедринка (от оспы) обратится в жемчужину  (раск.).	Изуверство — Раскол
Клеймо на мере и весах — печать антихристова (раск.).	Изуверство — Раскол
Перепись народная делается для взимания антихристом дани с  живых и мертвых (раск.).	Изуверство — Раскол
Грешно об одной оглобле (т. е. дышле) ездить (раск.).	Изуверство — Раскол
У антихриста дышловая колесница (раск.).	Изуверство — Раскол
С табачником, щепотником, бритоусцем не молись, не дружись,  не бранись (раск.).	Изуверство — Раскол
Себя хлыщу — Христа ищу (хлыстовщина).	Изуверство — Раскол
Себя скоплю, себе рай куплю (скопцы).	Изуверство — Раскол
Огненное крещение (т. е. скопление) — искупление.	Изуверство — Раскол
Ключи ада, ключи бездны (скопцы о детородн. част.).	Изуверство — Раскол
Веселится весь собор, катится к нам сокол (т. е. дух святой)  (скопцы).	Изуверство — Раскол
Тридцать рублей злата, оставайся место свято (о Иуде)  (скопцы).	Изуверство — Раскол
Уж кто у нас на реку Шат пойдет, тот, други, зашатается  (идти на Шат — отшатнуться) (скопцы).	Изуверство — Раскол
Кто в пяток на первой неделе великого поста постится, не  умрет напрасною смертию (раск.).	Изуверство — Раскол
Кто в пяток перед благовещением постится, от напрасного  убийства сохранится.	Изуверство — Раскол
